benchmark,config_id,workload,dtype,thread_count,m,k,n,request_count,avg_ms,p50_ms,p95_ms,p99_ms,total_ms,throughput_gflops,output_elements,partials,throughput_mb_s
compute,gemv:d=bfloat16:m1:k4096:n64:t4,gemv,bfloat16,4,1,4096,64,20,0.031227,0.031820,0.032299,0.032420,0.624545,16.789439,0,0,
compute,gemv:d=bfloat16:m1:k4096:n128:t4,gemv,bfloat16,4,1,4096,128,20,0.044989,0.042496,0.052669,0.069747,0.899787,23.307205,0,0,
compute,gemv:d=bfloat16:m1:k4096:n256:t4,gemv,bfloat16,4,1,4096,256,20,0.117401,0.113608,0.142278,0.146542,2.348016,17.863183,0,0,
compute,gemv:d=bfloat16:m1:k4096:n512:t4,gemv,bfloat16,4,1,4096,512,20,0.259331,0.263209,0.293341,0.312464,5.186623,16.173545,0,0,
compute,gemv:d=bfloat16:m1:k4096:n1024:t4,gemv,bfloat16,4,1,4096,1024,20,0.494371,0.497138,0.558705,0.560597,9.887427,16.968232,0,0,
compute,gemv:d=bfloat16:m1:k4096:n4096:t4,gemv,bfloat16,4,1,4096,4096,20,2.122742,2.025195,2.435887,2.478349,42.454838,15.807118,0,0,
compute,gemv:d=bfloat16:m1:k4096:n6144:t4,gemv,bfloat16,4,1,4096,6144,20,3.684576,3.688042,3.831449,3.841906,73.691518,13.660093,0,0,
compute,gemv:d=bfloat16:m1:k4096:n11008:t4,gemv,bfloat16,4,1,4096,11008,20,7.357755,7.363473,7.494843,7.504137,147.155107,12.256120,0,0,
compute,gemv:d=bfloat16:m1:k4096:n28672:t4,gemv,bfloat16,4,1,4096,28672,20,20.919126,20.905985,21.396927,21.398615,418.382528,11.228051,0,0,
compute,gemv:d=bfloat16:m1:k4096:n32000:t4,gemv,bfloat16,4,1,4096,32000,20,28.044905,28.097436,28.384585,28.485716,560.898102,9.347295,0,0,
compute,gemv:d=bfloat16:m1:k14336:n64:t4,gemv,bfloat16,4,1,14336,64,20,0.112469,0.107582,0.143606,0.147034,2.249379,16.315685,0,0,
compute,gemv:d=bfloat16:m1:k14336:n128:t4,gemv,bfloat16,4,1,14336,128,20,0.217441,0.215044,0.248576,0.251664,4.348820,16.878215,0,0,
