benchmark,config_id,workload,dtype,thread_count,chunk_size_bytes,chunk_size_param,prefetch_depth,request_count,bytes_transferred,avg_ms,p50_ms,p95_ms,p99_ms,total_ms,io_total_ms,io_exposed_ms,compute_ms,merge_ms,runtime_overhead_ms,throughput_mb_s,omega_hint
runtime,runtime:s64:b524288:d=bfloat16:t4:p1,fetch_compute_merge,bfloat16,4,524288,64,1,640,335544320,259.619934,263.084804,268.296980,268.873199,1298.099669,197.130220,83.367528,117.362920,0.047740,58.841746,246.514199,1.000000
runtime,runtime:s64:b524288:d=bfloat16:t4:p2,fetch_compute_merge,bfloat16,4,524288,64,2,640,335544320,264.784607,264.306128,267.435166,267.571675,1323.923037,200.532554,88.345535,117.917950,0.044108,58.477015,241.705893,1.000000
runtime,runtime:s64:b524288:d=bfloat16:t4:p4,fetch_compute_merge,bfloat16,4,524288,64,4,640,335544320,261.637041,259.688584,266.170672,266.657429,1308.185207,199.092325,85.625020,117.636050,0.048049,58.327922,244.613682,1.000000
runtime,runtime:s64:b524288:d=bfloat16:t4:p8,fetch_compute_merge,bfloat16,4,524288,64,8,640,335544320,261.857586,263.381622,264.006004,264.040872,1309.287932,198.291819,85.972565,117.443292,0.046954,58.394775,244.407660,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t4:p1,fetch_compute_merge,bfloat16,4,1048576,128,1,640,671088640,589.047893,588.053478,594.293973,595.385902,2945.239464,221.887696,4.204103,464.382751,0.100231,120.360808,217.299818,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t4:p2,fetch_compute_merge,bfloat16,4,1048576,128,2,640,671088640,586.987916,586.798133,587.741264,587.861938,2934.939580,224.676726,2.696530,464.567913,0.105912,119.617561,218.062411,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t4:p4,fetch_compute_merge,bfloat16,4,1048576,128,4,640,671088640,587.435049,587.469690,587.818173,587.825751,2937.175247,224.723303,2.968113,464.689422,0.098100,119.679414,217.896430,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t4:p8,fetch_compute_merge,bfloat16,4,1048576,128,8,640,671088640,583.950360,584.108028,585.539583,585.561349,2919.751798,224.283417,2.524370,462.010792,0.104623,119.310574,219.196714,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t4:p1,fetch_compute_merge,bfloat16,4,2097152,256,1,320,671088640,599.501734,599.371131,602.893970,603.301136,2997.508672,199.587401,2.086724,485.142199,0.059698,112.213113,213.510642,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t4:p2,fetch_compute_merge,bfloat16,4,2097152,256,2,320,671088640,600.281398,600.962111,602.786790,603.111453,3001.406990,199.928523,3.256799,485.948406,0.057942,111.018251,213.233328,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t4:p4,fetch_compute_merge,bfloat16,4,2097152,256,4,320,671088640,600.412688,601.111424,602.734540,602.865324,3002.063441,196.578333,2.053808,486.136712,0.057766,112.164402,213.186701,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t4:p8,fetch_compute_merge,bfloat16,4,2097152,256,8,320,671088640,594.691730,594.682916,595.289298,595.350226,2973.458652,196.263725,2.053946,481.896510,0.059675,110.681600,215.237565,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t4:p1,fetch_compute_merge,bfloat16,4,4194304,512,1,160,671088640,564.280884,564.924834,566.012575,566.046962,2821.404421,121.111223,2.319111,450.716500,0.052391,111.192882,226.837385,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t4:p2,fetch_compute_merge,bfloat16,4,4194304,512,2,160,671088640,565.040898,564.757154,565.907760,565.941101,2825.204492,120.438250,2.428920,451.328859,0.052072,111.231048,226.532275,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t4:p4,fetch_compute_merge,bfloat16,4,4194304,512,4,160,671088640,564.514207,564.032036,566.986720,567.367705,2822.571034,120.260309,2.325589,451.391999,0.050975,110.745644,226.743629,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t4:p8,fetch_compute_merge,bfloat16,4,4194304,512,8,160,671088640,563.857721,562.940732,566.291732,566.440144,2819.288605,118.988915,2.273507,450.528139,0.050963,111.005112,227.007621,1.000000
