benchmark,config_id,workload,dtype,thread_count,chunk_size_param,chunk_size_bytes,window_chunks,read_size_bytes,request_count,bytes_transferred,avg_ms,p50_ms,p95_ms,p99_ms,total_ms,throughput_mb_s,requests_per_s
kv,kv_window:s64:b524288:w1:t8:d=bfloat16,window_seq,bfloat16,8,64,524288,1,524288,512,268435456,3.410456,2.733265,5.465037,5.620653,1746.153511,146.607958,293.215915
kv,kv_window:s64:b524288:w2:t8:d=bfloat16,window_seq,bfloat16,8,64,524288,2,1048576,256,268435456,3.335511,3.308274,3.708858,4.119731,853.890691,299.804182,299.804182
kv,kv_window:s64:b524288:w4:t8:d=bfloat16,window_seq,bfloat16,8,64,524288,4,2097152,128,268435456,6.682163,6.639570,7.301162,8.056573,855.316928,299.304260,149.652130
kv,kv_window:s64:b524288:w8:t8:d=bfloat16,window_seq,bfloat16,8,64,524288,8,4194304,64,268435456,13.368480,13.311829,14.083367,15.282617,855.582698,299.211287,74.802822
kv,kv_window:s128:b1048576:w1:t8:d=bfloat16,window_seq,bfloat16,8,128,1048576,1,1048576,256,268435456,3.564896,4.257992,5.706997,5.897676,912.613287,280.513119,280.513119
kv,kv_window:s128:b1048576:w2:t8:d=bfloat16,window_seq,bfloat16,8,128,1048576,2,2097152,128,268435456,3.508399,3.490667,3.887775,4.359616,449.075011,570.060666,285.030333
kv,kv_window:s128:b1048576:w4:t8:d=bfloat16,window_seq,bfloat16,8,128,1048576,4,4194304,64,268435456,7.102127,7.060405,8.044330,8.207638,454.536110,563.211579,140.802895
kv,kv_window:s128:b1048576:w8:t8:d=bfloat16,window_seq,bfloat16,8,128,1048576,8,8388608,32,268435456,14.414766,14.242828,15.723615,16.435129,461.272516,554.986458,69.373307
kv,kv_window:s256:b2097152:w1:t8:d=bfloat16,window_seq,bfloat16,8,256,2097152,1,2097152,128,268435456,3.700104,2.160119,5.766576,5.881424,473.613308,540.525352,270.262676
kv,kv_window:s256:b2097152:w2:t8:d=bfloat16,window_seq,bfloat16,8,256,2097152,2,4194304,64,268435456,3.882873,3.869776,4.063413,4.366378,248.503900,1030.164919,257.541230
kv,kv_window:s256:b2097152:w4:t8:d=bfloat16,window_seq,bfloat16,8,256,2097152,4,8388608,32,268435456,7.777518,7.827621,8.071911,8.108227,248.880569,1028.605813,128.575727
kv,kv_window:s256:b2097152:w8:t8:d=bfloat16,window_seq,bfloat16,8,256,2097152,8,16777216,16,268435456,20.750727,15.932350,32.174947,32.714714,332.011630,771.057327,48.191083
kv,kv_window:s512:b4194304:w1:t8:d=bfloat16,window_seq,bfloat16,8,512,4194304,1,4194304,64,268435456,3.812402,2.167370,5.978722,6.060111,243.993716,1049.207349,262.301837
kv,kv_window:s512:b4194304:w2:t8:d=bfloat16,window_seq,bfloat16,8,512,4194304,2,8388608,32,268435456,4.016436,3.991829,4.334678,4.721013,128.525959,1991.815521,248.976940
kv,kv_window:s512:b4194304:w4:t8:d=bfloat16,window_seq,bfloat16,8,512,4194304,4,16777216,16,268435456,26.394341,31.701130,32.317727,32.391408,422.309456,606.190547,37.886909
kv,kv_window:s512:b4194304:w8:t8:d=bfloat16,window_seq,bfloat16,8,512,4194304,8,33554432,8,268435456,64.053778,64.214438,65.534916,66.002690,512.430221,499.580215,15.611882
