benchmark,config_id,workload,dtype,thread_count,m,k,n,request_count,avg_ms,p50_ms,p95_ms,p99_ms,total_ms,throughput_gflops,output_elements,partials,throughput_mb_s
compute,gemv:d=bfloat16:m1:k4096:n64:t4,gemv,bfloat16,4,1,4096,64,20,0.029914,0.029596,0.031429,0.033159,0.598276,17.526627,0,0,
compute,gemv:d=bfloat16:m1:k4096:n128:t4,gemv,bfloat16,4,1,4096,128,20,0.090574,0.078765,0.151849,0.175719,1.811482,11.576996,0,0,
compute,gemv:d=bfloat16:m1:k4096:n256:t4,gemv,bfloat16,4,1,4096,256,20,0.205030,0.166901,0.366603,0.404333,4.100605,10.228500,0,0,
compute,gemv:d=bfloat16:m1:k4096:n512:t4,gemv,bfloat16,4,1,4096,512,20,0.340256,0.333351,0.400517,0.425773,6.805127,12.326894,0,0,
compute,gemv:d=bfloat16:m1:k4096:n1024:t4,gemv,bfloat16,4,1,4096,1024,20,0.585193,0.583261,0.719127,0.751245,11.703864,14.334767,0,0,
compute,gemv:d=bfloat16:m1:k4096:n4096:t4,gemv,bfloat16,4,1,4096,4096,20,2.274886,2.279964,2.564517,2.798691,45.497717,14.749941,0,0,
compute,gemv:d=bfloat16:m1:k4096:n6144:t4,gemv,bfloat16,4,1,4096,6144,20,3.458865,3.433998,3.993268,4.064474,69.177296,14.551493,0,0,
compute,gemv:d=bfloat16:m1:k4096:n11008:t4,gemv,bfloat16,4,1,4096,11008,20,7.087385,7.098836,7.163607,7.239085,141.747705,12.723668,0,0,
compute,gemv:d=bfloat16:m1:k4096:n28672:t4,gemv,bfloat16,4,1,4096,28672,20,21.283586,21.270492,22.055753,22.063031,425.671716,11.035783,0,0,
compute,gemv:d=bfloat16:m1:k4096:n32000:t4,gemv,bfloat16,4,1,4096,32000,20,27.072279,27.090239,27.839154,28.442154,541.445589,9.683115,0,0,
compute,gemv:d=bfloat16:m1:k14336:n64:t4,gemv,bfloat16,4,1,14336,64,20,0.102696,0.098383,0.125247,0.133770,2.053929,17.868271,0,0,
compute,gemv:d=bfloat16:m1:k14336:n128:t4,gemv,bfloat16,4,1,14336,128,20,0.302512,0.259852,0.473205,0.487108,6.050231,12.131821,0,0,
compute,gemv:d=bfloat16:m1:k14336:n256:t4,gemv,bfloat16,4,1,14336,256,20,0.543008,0.467346,0.715957,0.721974,10.860163,13.517351,0,0,
compute,gemv:d=bfloat16:m1:k14336:n512:t4,gemv,bfloat16,4,1,14336,512,20,1.035165,0.980706,1.275323,1.279450,20.703296,14.181379,0,0,
compute,gemv:d=bfloat16:m1:k14336:n4096:t4,gemv,bfloat16,4,1,14336,4096,20,7.658498,7.441935,8.614154,8.774238,153.169960,15.334666,0,0,
compute,gemm:d=bfloat16:m1:k4096:n64:t4,gemm,bfloat16,4,1,4096,64,20,0.032531,0.030545,0.038554,0.050246,0.650617,16.116640,0,0,
compute,gemm:d=bfloat16:m1:k4096:n128:t4,gemm,bfloat16,4,1,4096,128,20,0.108459,0.089594,0.207299,0.251084,2.169184,9.667930,0,0,
compute,gemm:d=bfloat16:m1:k4096:n256:t4,gemm,bfloat16,4,1,4096,256,20,0.204236,0.208631,0.258847,0.265805,4.084719,10.268280,0,0,
compute,gemm:d=bfloat16:m1:k4096:n512:t4,gemm,bfloat16,4,1,4096,512,20,0.354809,0.351833,0.436486,0.446931,7.096177,11.821306,0,0,
compute,gemm:d=bfloat16:m1:k4096:n4096:t4,gemm,bfloat16,4,1,4096,4096,20,2.285316,2.298675,2.659076,2.981366,45.706329,14.682620,0,0,
compute,gemm:d=bfloat16:m1:k4096:n6144:t4,gemm,bfloat16,4,1,4096,6144,20,3.649116,3.697110,3.877836,4.518727,72.982315,13.792834,0,0,
compute,gemm:d=bfloat16:m1:k4096:n11008:t4,gemm,bfloat16,4,1,4096,11008,20,7.197751,7.175920,7.321013,7.370667,143.955028,12.528571,0,0,
compute,gemm:d=bfloat16:m1:k4096:n28672:t4,gemm,bfloat16,4,1,4096,28672,20,21.109861,21.166347,21.631200,22.152075,422.197229,11.126602,0,0,
compute,gemm:d=bfloat16:m1:k4096:n32000:t4,gemm,bfloat16,4,1,4096,32000,20,27.011801,27.011359,27.374457,27.488158,540.236015,9.704795,0,0,
compute,gemm:d=bfloat16:m1:k14336:n64:t4,gemm,bfloat16,4,1,14336,64,20,0.107503,0.102910,0.131755,0.136052,2.150066,17.069318,0,0,
compute,gemm:d=bfloat16:m1:k14336:n128:t4,gemm,bfloat16,4,1,14336,128,20,0.363752,0.363519,0.512462,0.520167,7.275031,10.089348,0,0,
compute,gemm:d=bfloat16:m1:k14336:n256:t4,gemm,bfloat16,4,1,14336,256,20,0.486023,0.460131,0.682120,0.683034,9.720469,15.102218,0,0,
