benchmark,config_id,workload,dtype,thread_count,chunk_size_param,chunk_size_bytes,window_chunks,read_size_bytes,request_count,bytes_transferred,avg_ms,p50_ms,p95_ms,p99_ms,total_ms,throughput_mb_s,requests_per_s
kv,kv_window:s64:b524288:w1:t4:d=bfloat16,window_seq,bfloat16,4,64,524288,1,524288,512,268435456,3.048029,2.226279,4.917176,5.039355,1560.590702,164.040449,328.080899
kv,kv_window:s64:b524288:w2:t4:d=bfloat16,window_seq,bfloat16,4,64,524288,2,1048576,256,268435456,3.136269,3.072455,3.709520,4.193155,802.884868,318.850199,318.850199
kv,kv_window:s64:b524288:w4:t4:d=bfloat16,window_seq,bfloat16,4,64,524288,4,2097152,128,268435456,6.259565,6.146981,7.340013,7.886979,801.224279,319.511037,159.755518
kv,kv_window:s64:b524288:w8:t4:d=bfloat16,window_seq,bfloat16,4,64,524288,8,4194304,64,268435456,12.627712,12.548476,14.165680,14.441154,808.173598,316.763627,79.190907
kv,kv_window:s128:b1048576:w1:t4:d=bfloat16,window_seq,bfloat16,4,128,1048576,1,1048576,256,268435456,3.356386,2.314420,5.385891,5.709921,859.234785,297.939521,297.939521
kv,kv_window:s128:b1048576:w2:t4:d=bfloat16,window_seq,bfloat16,4,128,1048576,2,2097152,128,268435456,3.202214,3.153054,3.644443,3.889570,409.883429,624.567821,312.283910
kv,kv_window:s128:b1048576:w4:t4:d=bfloat16,window_seq,bfloat16,4,128,1048576,4,4194304,64,268435456,6.542257,6.393095,7.783803,8.116470,418.704460,611.409776,152.852444
kv,kv_window:s128:b1048576:w8:t4:d=bfloat16,window_seq,bfloat16,4,128,1048576,8,8388608,32,268435456,13.077611,12.781491,14.689809,15.603742,418.483544,611.732537,76.466567
kv,kv_window:s256:b2097152:w1:t4:d=bfloat16,window_seq,bfloat16,4,256,2097152,1,2097152,128,268435456,3.467355,3.281080,5.551961,5.664558,443.821418,576.808576,288.404288
kv,kv_window:s256:b2097152:w2:t4:d=bfloat16,window_seq,bfloat16,4,256,2097152,2,4194304,64,268435456,3.364154,3.192235,3.892408,5.651134,215.305847,1189.006260,297.251565
kv,kv_window:s256:b2097152:w4:t4:d=bfloat16,window_seq,bfloat16,4,256,2097152,4,8388608,32,268435456,6.475102,6.408625,6.940910,7.582304,207.203277,1235.501695,154.437712
kv,kv_window:s256:b2097152:w8:t4:d=bfloat16,window_seq,bfloat16,4,256,2097152,8,16777216,16,268435456,27.303115,31.926925,32.500112,32.655974,436.849848,586.013710,36.625857
kv,kv_window:s512:b4194304:w1:t4:d=bfloat16,window_seq,bfloat16,4,512,4194304,1,4194304,64,268435456,3.493247,2.060258,5.476366,5.727532,223.567837,1145.066318,286.266580
kv,kv_window:s512:b4194304:w2:t4:d=bfloat16,window_seq,bfloat16,4,512,4194304,2,8388608,32,268435456,3.985881,3.539029,6.003118,10.736688,127.548186,2007.084601,250.885575
kv,kv_window:s512:b4194304:w4:t4:d=bfloat16,window_seq,bfloat16,4,512,4194304,4,16777216,16,268435456,27.779429,31.893050,32.483077,32.690244,444.470857,575.965771,35.997861
kv,kv_window:s512:b4194304:w8:t4:d=bfloat16,window_seq,bfloat16,4,512,4194304,8,33554432,8,268435456,63.972857,63.961036,64.417009,64.441183,511.782857,500.212144,15.631629
