benchmark,config_id,workload,dtype,thread_count,chunk_size_bytes,chunk_size_param,prefetch_depth,request_count,bytes_transferred,avg_ms,p50_ms,p95_ms,p99_ms,total_ms,io_total_ms,io_exposed_ms,compute_ms,merge_ms,runtime_overhead_ms,throughput_mb_s,omega_hint
runtime,runtime:s64:b524288:d=bfloat16:t8:p1,fetch_compute_merge,bfloat16,8,524288,64,1,640,335544320,263.656340,262.533921,266.651514,266.977216,1318.281699,199.234897,73.950824,122.452524,0.043867,67.209125,242.740228,1.000000
runtime,runtime:s64:b524288:d=bfloat16:t8:p2,fetch_compute_merge,bfloat16,8,524288,64,2,640,335544320,263.004336,263.162808,265.768287,265.937543,1315.021682,198.941900,74.812514,122.355479,0.046280,65.790064,243.341995,1.000000
runtime,runtime:s64:b524288:d=bfloat16:t8:p4,fetch_compute_merge,bfloat16,8,524288,64,4,640,335544320,264.718806,265.364310,270.709404,271.657638,1323.594032,198.723861,76.447000,122.229255,0.044635,65.997917,241.765974,1.000000
runtime,runtime:s64:b524288:d=bfloat16:t8:p8,fetch_compute_merge,bfloat16,8,524288,64,8,640,335544320,263.310328,262.648933,267.584957,267.997040,1316.551641,197.025088,75.673259,121.944971,0.043997,65.648101,243.059209,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t8:p1,fetch_compute_merge,bfloat16,8,1048576,128,1,640,671088640,465.195123,465.326001,465.970194,466.016867,2325.975615,223.343269,3.779214,346.762591,0.085648,114.567670,275.153358,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t8:p2,fetch_compute_merge,bfloat16,8,1048576,128,2,640,671088640,462.204219,463.094887,464.881289,465.158851,2311.021096,222.175948,3.294715,344.924135,0.078736,113.906633,276.933863,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t8:p4,fetch_compute_merge,bfloat16,8,1048576,128,4,640,671088640,462.209118,461.995015,464.685072,464.954730,2311.045591,225.318545,3.401311,344.322304,0.085775,114.399729,276.930928,1.000000
runtime,runtime:s128:b1048576:d=bfloat16:t8:p8,fetch_compute_merge,bfloat16,8,1048576,128,8,640,671088640,462.940491,463.601345,465.157148,465.368694,2314.702457,223.555950,3.137193,345.035023,0.080130,114.688146,276.493421,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t8:p1,fetch_compute_merge,bfloat16,8,2097152,256,1,320,671088640,630.109385,629.786350,644.462879,644.920813,3150.546924,228.394661,2.118024,454.466056,0.068868,173.456437,203.139333,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t8:p2,fetch_compute_merge,bfloat16,8,2097152,256,2,320,671088640,622.886222,623.253593,628.232189,628.401791,3114.431110,222.705957,2.157197,453.513144,0.072376,167.143505,205.494993,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t8:p4,fetch_compute_merge,bfloat16,8,2097152,256,4,320,671088640,619.608431,619.710627,626.847472,628.136102,3098.042155,221.965538,2.143346,455.049657,0.070923,162.344505,206.582082,1.000000
runtime,runtime:s256:b2097152:d=bfloat16:t8:p8,fetch_compute_merge,bfloat16,8,2097152,256,8,320,671088640,627.053304,630.489087,637.883233,639.142624,3135.266522,218.841241,2.036580,453.546394,0.068701,171.401630,204.129376,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t8:p1,fetch_compute_merge,bfloat16,8,4194304,512,1,160,671088640,582.123659,581.659739,584.467123,584.620584,2910.618297,75.707419,2.452133,434.196836,0.067519,145.407171,219.884552,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t8:p2,fetch_compute_merge,bfloat16,8,4194304,512,2,160,671088640,582.053737,581.760540,584.217496,584.275970,2910.268686,70.436136,2.193760,433.234838,0.063712,146.561428,219.910967,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t8:p4,fetch_compute_merge,bfloat16,8,4194304,512,4,160,671088640,580.240733,578.120180,584.065080,584.236144,2901.203666,76.149308,2.348646,433.393853,0.063021,144.435213,220.598094,1.000000
runtime,runtime:s512:b4194304:d=bfloat16:t8:p8,fetch_compute_merge,bfloat16,8,4194304,512,8,160,671088640,580.966796,582.871646,587.182465,587.705215,2904.833981,74.231506,2.171318,433.785319,0.065052,144.945107,220.322402,1.000000
