platform_id,chunk_size,prefetch_window,static_ratio,static_budget_bytes,static_selected_bytes,bufferpool_bytes,median_prefill_s,median_decode_avg_s,median_decode_ms_per_token,median_decode_tokens_per_s,median_preload_s,real_prefill_time
4c8g,64,1,0.0,0,0,5153960755,5.828017073,2.895318513,2895.3185132,0.345385143,6.3e-08,5.82801701
4c8g,64,1,0.25,1288490188,1189085184,3865470567,17.031614885,1.411941067,1411.9410668,0.708244858,11.492713807,5.538901078
4c8g,64,1,0.5,2576980377,2510290944,2576980378,30.054972804,1.917189164,1917.1891644,0.521596939,23.81535813,6.2396146739999985
4c8g,64,1,0.75,3865470566,3831496704,1288490189,40.003942614,1.874598156,1874.5981564,0.53344766,34.493021665,5.510920949000003
4c8g,128,1,0.0,0,0,5153960755,3.365264907,0.918839207,918.8392072,1.088329701,5.1e-08,3.365264856
4c8g,128,1,0.25,1288490188,1189085184,3865470567,13.210815078,1.158349898,1158.3498984,0.863297007,9.674951686,3.5358633919999995
4c8g,128,1,0.5,2576980377,2510290944,2576980378,24.050046217,1.398413064,1398.4130638,0.715096294,20.476970578,3.573075638999999
4c8g,128,1,0.75,3865470566,3831496704,1288490189,32.815416111,1.347164852,1347.1648518,0.742299651,29.28295433,3.5324617809999985
4c8g,256,1,0.0,0,0,5153960755,2.314255583,0.899126303,899.126303,1.112190798,6e-08,2.314255523
4c8g,256,1,0.25,1288490188,1189085184,3865470567,11.101294819,1.022683467,1022.683467,0.97781966,8.747129108,2.3541657110000003
4c8g,256,1,0.5,2576980377,2510290944,2576980378,20.760755137,1.117942299,1117.942299,0.894500549,18.528677037,2.232078099999999
4c8g,256,1,0.75,3865470566,3831496704,1288490189,30.112964928,1.11797873,1117.9787304,0.8944714,27.460174712,2.6527902159999996
4c8g,512,1,0.0,0,0,5153960755,1.950902716,0.876823637,876.8236372,1.140480203,5.2e-08,1.950902664
4c8g,512,1,0.25,1288490188,1189085184,3865470567,10.780195287,0.961558682,961.5586824,1.03997813,8.701652678,2.0785426089999994
4c8g,512,1,0.5,2576980377,2510290944,2576980378,20.625381059,1.030222473,1030.2224734,0.970664129,18.282818458,2.3425626009999974
4c8g,512,1,0.75,3865470566,3831496704,1288490189,29.705232421,0.995199851,995.1998508,1.004823302,27.567264923,2.137967498000002
8c16g,64,1,0.0,0,0,12025908428,7.783414031,5.600310021,5600.3100206,0.178561543,6.1e-08,7.783413970000001
8c16g,64,1,0.25,3006477107,2972712960,9019431321,47.129258057,2.268224311,2268.2243114,0.440873504,39.016553366,8.112704691000005
8c16g,64,1,0.5,6012954214,5166858240,6012954214,73.425139845,2.014382838,2014.3828378,0.496429964,59.829199623,13.595940222000003
8c16g,64,1,0.75,9019431321,5166858240,3006477107,73.102938152,2.005728615,2005.728615,0.498571937,64.519869264,8.583068888
8c16g,128,1,0.0,0,0,12025908428,4.435816893,1.178459935,1178.4599348,0.848565123,6.4e-08,4.435816829
8c16g,128,1,0.25,3006477107,2972712960,9019431321,35.902811907,1.711559472,1711.559472,0.584262491,30.72087172,5.181940186999999
8c16g,128,1,0.5,6012954214,5166858240,6012954214,54.824301878,1.550128947,1550.1289472,0.645107623,51.072083013,3.7522188650000032
8c16g,128,1,0.75,9019431321,5166858240,3006477107,55.871288715,1.554641867,1554.6418666,0.643234961,51.985844715,3.8854439999999997
8c16g,256,1,0.0,0,0,12025908428,2.788337169,0.976822572,976.8225718,1.023727368,6.1e-08,2.788337108
8c16g,256,1,0.25,3006477107,2972712960,9019431321,31.504735652,1.313544289,1313.5442886,0.761299036,27.645972135,3.858763517
8c16g,256,1,0.5,6012954214,5166858240,6012954214,48.887229498,1.23585139,1235.8513902,0.809158777,46.964415189,1.9228143090000032
8c16g,256,1,0.75,9019431321,5166858240,3006477107,52.461268204,1.216834564,1216.8345644,0.821804401,47.897048406,4.564219797999996
8c16g,512,1,0.0,0,0,12025908428,1.9261156,0.832713073,832.7130728,1.20089384,6.2e-08,1.926115538
8c16g,512,1,0.25,3006477107,2972712960,9019431321,30.819406164,0.957677609,957.6776092,1.044192733,28.563285251,2.256120913
8c16g,512,1,0.5,6012954214,5166858240,6012954214,52.063958383,0.957303601,957.303601,1.044600688,50.282002549,1.7819558340000015
8c16g,512,1,0.75,9019431321,5166858240,3006477107,52.01279403,0.945298123,945.298123,1.057867328,49.405839317,2.6069547130000004
