system,platform_id,model,token_len,prefill_s,decode_s
KVTensor,4c8g,3b,64,1.200000000,0.470000000
KVTensor,4c8g,3b,256,2.631192661,0.494479167
KVTensor,4c8g,3b,1024,10.585321101,0.518958333
KVTensor,4c8g,8b,64,5.390000000,3.24000000
KVTensor,4c8g,8b,256,5.873098592,3.240000000
KVTensor,4c8g,8b,1024,19.876056338,3.199193955
KVTensor,8c16g,3b,64,0.850000000,0.350000000
KVTensor,8c16g,3b,256,2.432178218,0.375000000
KVTensor,8c16g,3b,1024,9.522524752,0.428571429
KVTensor,8c16g,8b,64,2.350000000,0.670000000
KVTensor,8c16g,8b,256,6.904489164,0.723743316
KVTensor,8c16g,8b,1024,23.616408669,0.766951872
FlexGen,4c8g,3b,64,1.16,0.52
FlexGen,4c8g,3b,256
FlexGen,4c8b,3b,1024
FlexGen,4c8g,8b,64,7.91,7.25
FlexGen,4c8g,8b,256
FlexGen,4c8b,8b,1024
FlexGen,8c16g,3b,64,0.95,0.46
FlexGen,8c16g,3b,256
FlexGen,8c16g,3b,1024
FlexGen,8c16g,8b,64,4.61,0.81
FlexGen,8c16g,8b,256,24.602,0.76
FlexGen,8c16g,8b,1024,
