platform_id,threads,chunk_size,static_ratio,requested_static_bytes,selected_static_bytes,matrix_count,median_preload_s,median_throughput_mb_s
4c8g,4,64,0.0,0,0,0,8.5e-08,0.0
4c8g,4,64,0.25,1503238553,1409286144,6,12.461891194,107.84879911703071
4c8g,4,64,0.5,3006477107,2818572288,12,24.748369671,108.61321516260456
4c8g,4,64,0.75,4509715660,4462739456,19,38.231668687,111.32132460248006
4c8g,4,128,0.0,0,0,0,8.8e-08,0.0
4c8g,4,128,0.25,1503238553,1409286144,6,10.502387782,127.97089841830791
4c8g,4,128,0.5,3006477107,2818572288,12,21.404608798,125.58043108226116
4c8g,4,128,0.75,4509715660,4462739456,19,33.593829578,126.68993245078491
4c8g,4,256,0.0,0,0,0,8.8e-08,0.0
4c8g,4,256,0.25,1503238553,1409286144,6,10.320586066,130.22516273835024
4c8g,4,256,0.5,3006477107,2818572288,12,21.037497001,127.77185422164187
4c8g,4,256,0.75,4509715660,4462739456,19,33.205552773,128.17133414687876
4c8g,4,512,0.0,0,0,0,8.7e-08,0.0
4c8g,4,512,0.25,1503238553,1409286144,6,10.478144676,128.26698252014097
4c8g,4,512,0.5,3006477107,2818572288,12,21.341074268,125.95429668836013
4c8g,4,512,0.75,4509715660,4462739456,19,33.652700728,126.46830441334795
8c16g,8,64,0.0,0,0,0,1.35e-07,0.0
8c16g,8,64,0.25,3006477107,2818572288,12,31.768200005,84.61291478827681
8c16g,8,64,0.5,6012954214,5989466112,31,68.324752753,83.600741603111
8c16g,8,64,0.75,9019431321,8986296320,81,103.928439822,82.46058552094098
8c16g,8,128,0.0,0,0,0,1.29e-07,0.0
8c16g,8,128,0.25,3006477107,2818572288,12,26.099255406,102.99144393912675
8c16g,8,128,0.5,6012954214,5989466112,31,51.347567255,111.2418816578655
8c16g,8,128,0.75,9019431321,8986296320,81,80.534706946,106.41374787327831
8c16g,8,256,0.0,0,0,0,1.35e-07,0.0
8c16g,8,256,0.25,3006477107,2818572288,12,25.335744653,106.09516463064426
8c16g,8,256,0.5,6012954214,5989466112,31,54.415712849,104.96968064813231
8c16g,8,256,0.75,9019431321,8986296320,81,82.347687078,104.07092541509353
8c16g,8,512,0.0,0,0,0,1.33e-07,0.0
8c16g,8,512,0.25,3006477107,2818572288,12,26.086294209,103.04261611343081
8c16g,8,512,0.5,6012954214,5989466112,31,58.083129679,98.34180822499958
8c16g,8,512,0.75,9019431321,8986296320,81,88.709233431,96.60775624519329
