platform_id,chunk_size,prefetch_window,static_ratio,static_budget_bytes,static_selected_bytes,bufferpool_bytes,median_prefill_s,median_decode_avg_s,median_decode_ms_per_token,median_decode_tokens_per_s
4c8g,64,1,0.0,0,0,6012954214,15.040439779,9.993606345,9993.6063448,0.100063977
4c8g,64,1,0.25,1503238553,1409286144,4509715661,28.123499395,9.15422345,9154.22345,0.109239195
4c8g,64,1,0.5,3006477107,2818572288,3006477107,40.402506381,8.588062379,8588.0623786,0.116440701
4c8g,64,1,0.75,4509715660,4462739456,1503238554,55.884580233,7.724351263,7724.3512634,0.12946071
4c8g,64,2,0.0,0,0,6012954214,15.277087253,10.339171065,10339.1710654,0.096719553
4c8g,64,2,0.25,1503238553,1409286144,4509715661,27.713645985,9.208827287,9208.8272868,0.10859146
4c8g,64,2,0.5,3006477107,2818572288,3006477107,40.624508699,8.487207781,8487.2077808,0.117824381
4c8g,64,2,0.75,4509715660,4462739456,1503238554,55.504672864,7.711986267,7711.9862668,0.129668281
4c8g,64,4,0.0,0,0,6012954214,15.240355156,9.87661606,9876.6160604,0.101249253
4c8g,64,4,0.25,1503238553,1409286144,4509715661,27.644089404,9.078564273,9078.5642728,0.110149575
4c8g,64,4,0.5,3006477107,2818572288,3006477107,40.453154449,8.495355949,8495.3559492,0.117711371
4c8g,64,4,0.75,4509715660,4462739456,1503238554,55.312082174,7.644366346,7644.3663464,0.13081529
4c8g,64,8,0.0,0,0,6012954214,15.34042674,10.246405982,10246.4059824,0.097595196
4c8g,64,8,0.25,1503238553,1409286144,4509715661,27.756728695,9.140315341,9140.315341,0.109405416
4c8g,64,8,0.5,3006477107,2818572288,3006477107,40.773958687,8.519719856,8519.7198558,0.117374751
4c8g,64,8,0.75,4509715660,4462739456,1503238554,56.248859942,7.603699397,7603.6993972,0.131514931
4c8g,128,1,0.0,0,0,6012954214,9.133787616,6.24972835,6249.72835,0.160006955
4c8g,128,1,0.25,1503238553,1409286144,4509715661,20.030012455,6.282828381,6282.828381,0.159163985
4c8g,128,1,0.5,3006477107,2818572288,3006477107,30.139326339,6.317403861,6317.4038608,0.158292872
4c8g,128,1,0.75,4509715660,4462739456,1503238554,53.064958617,19.815194406,19815.1944056,0.050466323
4c8g,128,2,0.0,0,0,6012954214,9.023725975,6.250698922,6250.6989218,0.15998211
4c8g,128,2,0.25,1503238553,1409286144,4509715661,19.957451368,6.283551936,6283.551936,0.159145657
4c8g,128,2,0.5,3006477107,2818572288,3006477107,30.128570164,6.317209023,6317.2090234,0.158297754
4c8g,128,2,0.75,4509715660,4462739456,1503238554,52.931811877,19.815643233,19815.643233,0.05046518
4c8g,128,4,0.0,0,0,6012954214,9.057036969,6.250835548,6250.835548,0.159978613
4c8g,128,4,0.25,1503238553,1409286144,4509715661,19.986001679,6.276311413,6276.3114126,0.159329252
4c8g,128,4,0.5,3006477107,2818572288,3006477107,42.238998996,24.451506594,24451.5065942,0.040897275
4c8g,128,4,0.75,4509715660,4462739456,1503238554,53.215046024,19.802413212,19802.4132116,0.050498896
4c8g,128,8,0.0,0,0,6012954214,9.127516653,6.250596054,6250.596054,0.159984742
4c8g,128,8,0.25,1503238553,1409286144,4509715661,19.791297391,6.262661028,6262.661028,0.159676533
4c8g,128,8,0.5,3006477107,2818572288,3006477107,42.220873701,24.451972695,24451.9726946,0.040896496
4c8g,128,8,0.75,4509715660,4462739456,1503238554,53.443824918,19.775504785,19775.5047852,0.050567609
4c8g,256,1,0.0,0,0,6012954214,6.948762655,6.280012405,6280.0124054,0.159235354
4c8g,256,1,0.25,1503238553,1409286144,4509715661,42.215684167,33.430669219,33430.669219,0.029912653
4c8g,256,1,0.5,3006477107,2818572288,3006477107,42.220768148,24.442708071,24442.7080706,0.040911997
4c8g,256,1,0.75,4509715660,4462739456,1503238554,54.483413259,19.822138641,19822.1386412,0.050448643
4c8g,256,2,0.0,0,0,6012954214,42.220114054,42.418318882,42418.3188822,0.02357472
4c8g,256,2,0.25,1503238553,1409286144,4509715661,42.216096825,33.430764561,33430.7645606,0.029912567
4c8g,256,2,0.5,3006477107,2818572288,3006477107,42.846645225,24.442710571,24442.7105714,0.040911993
4c8g,256,2,0.75,4509715660,4462739456,1503238554,53.916183299,19.809052437,19809.0524372,0.05048197
4c8g,256,4,0.0,0,0,6012954214,42.213251136,42.418406306,42418.406306,0.023574672
